portfolio_key,molecule_key,molecule_position
1,8,1
2,9,1
3,5,1
4,8,1
5,5,1
6,5,1
7,5,1
8,10,1
9,8,1
9,15,2
10,9,1
10,15,2
11,8,1
11,15,2
12,5,1
12,15,2
13,5,1
13,15,2
14,10,1
14,15,2
15,8,1
15,21,2
16,9,1
16,14,2
17,10,1
17,22,2
18,4,1
19,6,1
20,20,1
21,23,1
22,2,1
23,2,1
24,2,1
25,4,1
26,4,1
27,6,1
28,18,1
29,18,1
30,2,1
31,2,1
32,4,1
33,2,1
34,4,1
35,6,1
36,6,1
37,18,1
38,17,1
39,1,1
40,23,1
41,11,1
42,18,1
43,16,1
44,6,1
45,2,1
46,4,1
47,6,1
48,18,1
49,2,1
50,4,1
51,6,1
52,16,1
53,18,1
54,4,1
55,4,1
56,2,1
57,6,1
58,2,1
59,13,1
60,2,1
61,18,1
62,4,1
63,6,1
64,18,1
65,18,1
66,6,1
67,18,1
68,4,1
69,6,1
70,16,1
71,18,1
72,4,1
73,6,1
74,2,1
75,4,1
76,20,1
77,12,1
78,4,1
79,4,1
80,16,1
81,18,1
82,3,1
83,18,1
84,18,1
85,18,1
86,18,1
87,18,1
88,4,1
89,4,1
90,4,1
91,4,1
92,4,1
94,2,1
95,4,1
96,6,1
97,18,1
98,20,1
99,20,1
100,20,1
101,2,1
102,18,1
103,20,1
104,6,1
105,6,1
106,16,1
107,16,1
108,16,1
109,6,1
110,23,1
111,6,1
112,7,1
113,6,1
114,18,1
115,2,1
116,12,1
117,2,1
118,4,1
119,4,1
120,4,1
121,6,1
122,6,1
123,6,1
124,16,1
125,18,1
126,18,1
127,23,1
128,6,1
129,6,1
130,18,1
131,2,1
132,4,1
133,4,1
134,6,1
135,16,1
136,18,1
137,2,1
138,2,1
139,12,1
140,2,1
141,2,1
142,4,1
143,4,1
144,4,1
145,6,1
146,6,1
147,6,1
148,18,1
149,23,1
150,2,1
151,4,1
152,4,1
153,4,1
154,4,1
155,4,1
156,4,1
157,4,1
158,6,1
159,6,1
160,6,1
161,18,1
162,23,1
163,23,1
164,23,1
165,6,1
166,4,1
167,6,1
168,4,1
169,6,1
170,2,1
171,18,1
172,11,1
173,2,1
174,2,1
175,4,1
176,6,1
177,6,1
178,18,1
179,6,1
180,2,1
181,2,1
182,4,1
183,6,1
184,18,1
185,2,1
186,2,1
187,4,1
188,4,1
189,6,1
190,6,1
191,6,1
192,16,1
193,16,1
194,18,1
195,18,1
196,20,1
197,3,1
198,17,1
199,1,1
200,23,1
201,11,1
202,4,1
203,18,1
204,4,1
205,16,1
206,6,1
207,2,1
208,4,1
209,6,1
210,6,1
211,18,1
212,24,1
213,18,1
214,2,1
215,4,1
216,6,1
217,16,1
218,18,1
219,4,1
220,4,1
221,18,1
222,2,1
223,18,1
224,6,1
225,2,1
226,13,1
227,4,1
228,4,1
229,18,1
230,4,1
231,4,1
232,4,1
233,2,1
234,4,1
235,4,1
236,18,1
237,18,1
238,18,1
239,4,1
240,4,1
241,4,1
242,4,1
243,6,1
244,6,1
245,18,1
246,18,1
247,20,1
248,11,1
249,6,1
250,12,1
251,18,1
252,6,1
253,18,1
254,2,1
255,4,1
256,16,1
257,18,1
258,20,1
259,4,1
260,6,1
261,2,1
262,4,1
263,6,1
264,18,1
265,20,1
266,12,1
267,4,1
268,4,1
269,6,1
270,16,1
271,16,1
272,18,1
273,18,1
274,3,1
275,4,1
276,18,1
277,18,1
278,18,1
279,18,1
280,18,1
281,18,1
282,18,1
283,4,1
284,4,1
285,4,1
286,4,1
287,6,1
288,4,1
289,2,1
290,4,1
291,6,1
292,18,1
293,19,1
294,20,1
295,20,1
296,20,1
297,20,1
298,2,1
299,18,1
300,20,1
301,4,1
302,4,1
303,6,1
304,6,1
305,16,1
306,4,1
307,16,1
308,16,1
309,6,1
310,23,1
311,6,1
312,7,1
313,12,1
314,2,1
315,2,1
316,4,1
317,4,1
318,6,1
319,6,1
320,6,1
321,16,1
322,18,1
323,18,1
324,23,1
325,23,1
326,7,1
327,7,1
328,4,1
329,6,1
330,6,1
331,18,1
332,2,1
333,4,1
334,4,1
335,6,1
336,16,1
337,18,1
338,18,1
339,6,1
340,18,1
341,2,1
342,12,1
343,19,1
344,2,1
345,2,1
346,2,1
347,4,1
348,4,1
349,4,1
350,6,1
351,6,1
352,6,1
353,18,1
354,18,1
355,18,1
356,23,1
357,23,1
358,2,1
359,4,1
360,4,1
361,6,1
362,18,1
363,18,1
364,4,1
365,4,1
366,2,1
367,4,1
368,4,1
369,4,1
370,6,1
371,6,1
372,6,1
373,18,1
374,18,1
375,18,1
376,18,1
377,23,1
378,23,1
379,23,1
380,23,1
381,6,1
382,2,1
383,4,1
384,6,1
385,6,1
386,2,1
387,4,1
388,4,1
389,6,1
390,18,1
391,6,1
392,18,1
