diagnosis_key,disease_area,disease_name,diag3_raw,diag3_code,diag3_description,diag4_raw,diag4_code,diag4_description
1,CARDIOVASCULAR,ABNORMALITIES OF HEART BEAT,R00 (ABN HEART BEAT),R00,ABN HEART BEAT,R000 (TACHYCARDIA UNSPECIFIED),R000,TACHYCARDIA UNSPECIFIED
2,CARDIOVASCULAR,ABNORMALITIES OF HEART BEAT,R00 (ABN HEART BEAT),R00,ABN HEART BEAT,R001 (BRADYCARDIA UNSPECIFIED),R001,BRADYCARDIA UNSPECIFIED
3,CARDIOVASCULAR,ABNORMALITIES OF HEART BEAT,R00 (ABN HEART BEAT),R00,ABN HEART BEAT,R002 (PALPITATIONS),R002,PALPITATIONS
4,CARDIOVASCULAR,ABNORMALITIES OF HEART BEAT,R00 (ABN HEART BEAT),R00,ABN HEART BEAT,R008 (OTH/UNSP ABN HEART BEAT),R008,OTH/UNSP ABN HEART BEAT
5,CARDIOVASCULAR,ANGINA,I20 (ANGINA PECTORIS),I20,ANGINA PECTORIS,I200 (UNSTABLE ANGINA),I200,UNSTABLE ANGINA
6,CARDIOVASCULAR,ANGINA,I20 (ANGINA PECTORIS),I20,ANGINA PECTORIS,I201 (ANGINA PECT+DOCUM SPASM),I201,ANGINA PECT+DOCUM SPASM
7,CARDIOVASCULAR,ANGINA,I20 (ANGINA PECTORIS),I20,ANGINA PECTORIS,I208 (OTH FORMS ANGINA PECTOR),I208,OTH FORMS ANGINA PECTOR
8,CARDIOVASCULAR,ANGINA,I20 (ANGINA PECTORIS),I20,ANGINA PECTORIS,I209 (ANGINA PECTORIS UNSP),I209,ANGINA PECTORIS UNSP
9,CARDIOVASCULAR,AORTIC ANEURYSM AND DISSECTION,I71 (AORT ANEURYSM/DISSECTION),I71,AORT ANEURYSM/DISSECTION,I710 (DISSECT AORTA (ANY PART)),I710,DISSECT AORTA (ANY PART)
10,CARDIOVASCULAR,AORTIC ANEURYSM AND DISSECTION,I71 (AORT ANEURYSM/DISSECTION),I71,AORT ANEURYSM/DISSECTION,I712 (THOR AORT ANEUR NO RUPT),I712,THOR AORT ANEUR NO RUPT
11,CARDIOVASCULAR,AORTIC ANEURYSM AND DISSECTION,I71 (AORT ANEURYSM/DISSECTION),I71,AORT ANEURYSM/DISSECTION,I714 (ABD AORT ANEUR NO RUPT),I714,ABD AORT ANEUR NO RUPT
12,CARDIOVASCULAR,AORTIC ANEURYSM AND DISSECTION,I71 (AORT ANEURYSM/DISSECTION),I71,AORT ANEURYSM/DISSECTION,I719 (AORT ANEUR UNS ST N/RUPT),I719,AORT ANEUR UNS ST N/RUPT
13,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I480 (PAROXYS ATRIAL FIBRILLAT),I480,PAROXYS ATRIAL FIBRILLAT
14,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I481 (PERSIST ATRIAL FIBRILLAT),I481,PERSIST ATRIAL FIBRILLAT
15,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I482 (CHRONIC ATRIAL FIBRILLAT),I482,CHRONIC ATRIAL FIBRILLAT
16,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I483 (TYPICAL ATRIAL FIBRILLAT),I483,TYPICAL ATRIAL FIBRILLAT
17,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I484 (ATYPICAL ATRIAL FIBRILLA),I484,ATYPICAL ATRIAL FIBRILLA
18,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I489 (ATRIAL FIBRIL/FLUTTER UN),I489,ATRIAL FIBRIL/FLUTTER UN
19,CARDIOVASCULAR,CARDIOMYOPATHY,I40 (ACUTE MYOCARDITIS),I40,ACUTE MYOCARDITIS,I409 (ACUTE MYOCARDITIS UNSP),I409,ACUTE MYOCARDITIS UNSP
20,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I420 (DILATED CARDIOMYOPATHY),I420,DILATED CARDIOMYOPATHY
21,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I421 (OBST HYPERTROPH CARDIOMY),I421,OBST HYPERTROPH CARDIOMY
22,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I422 (O/HYPERTROPH CARDIOMYOP),I422,O/HYPERTROPH CARDIOMYOP
23,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I425 (OTH RESTR CARDIOMYOPATHY),I425,OTH RESTR CARDIOMYOPATHY
24,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I426 (ALCOHOLIC CARDIOMYOPATHY),I426,ALCOHOLIC CARDIOMYOPATHY
25,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I427 (CARDIOMYOP-DRG/O/EXT AGT),I427,CARDIOMYOP-DRG/O/EXT AGT
26,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I428 (OTHER CARDIOMYOPATHIES),I428,OTHER CARDIOMYOPATHIES
27,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I429 (CARDIOMYOPATHY UNSP),I429,CARDIOMYOPATHY UNSP
28,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I250 (ATHEROSCL CARDIOVASC DIS),I250,ATHEROSCL CARDIOVASC DIS
29,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I251 (ATHEROSCL HEART DIS),I251,ATHEROSCL HEART DIS
30,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I252 (OLD MYOCARD INFARCT),I252,OLD MYOCARD INFARCT
31,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I253 (ANEURYSM OF HEART),I253,ANEURYSM OF HEART
32,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I254 (CORO ARTERY ANEUR+DISSEC),I254,CORO ARTERY ANEUR+DISSEC
