feedback_key,contact_quality,current_prescribing,future_prescribing,nps_scale_raw,nps_scale_numeric,nps_all_channels_score,nps_category
1,NR,N.R.,N.R.,0,0.0,-100.0,Detractor
2,NR,N.R.,N.R.,1,1.0,-100.0,Detractor
3,NR,N.R.,N.R.,10,10.0,100.0,Promoter
4,NR,N.R.,N.R.,2,2.0,-100.0,Detractor
5,NR,N.R.,N.R.,3,3.0,-100.0,Detractor
6,NR,N.R.,N.R.,4,4.0,-100.0,Detractor
7,NR,N.R.,N.R.,5,5.0,-100.0,Detractor
8,NR,N.R.,N.R.,6,6.0,-100.0,Detractor
9,NR,N.R.,N.R.,7,7.0,0.0,Passive
10,NR,N.R.,N.R.,8,8.0,0.0,Passive
11,NR,N.R.,N.R.,9,9.0,100.0,Promoter
12,No Contact Quality,No Current Prescribing,No Future Prescribing,8,8.0,0.0,Passive
13,No Contact Quality,No Current Prescribing,No Future Prescribing,9,9.0,100.0,Promoter
14,No Contact Quality,No Current Prescribing,No Future Prescribing,No NPS Scale,,,No NPS
15,No Contact Quality,frequently,increase (or will begin to prescribe),No NPS Scale,,,No NPS
16,No Contact Quality,frequently,remain unchanged,No NPS Scale,,,No NPS
17,No Contact Quality,occasionally,increase (or will begin to prescribe),No NPS Scale,,,No NPS
18,not at all useful nor of value to your practice,N.R.,N.R.,0,0.0,-100.0,Detractor
19,not at all useful nor of value to your practice,N.R.,N.R.,5,5.0,-100.0,Detractor
20,not at all useful nor of value to your practice,N.R.,N.R.,7,7.0,0.0,Passive
21,not at all useful nor of value to your practice,No Current Prescribing,No Future Prescribing,3,3.0,-100.0,Detractor
22,not at all useful nor of value to your practice,frequently,decrease,0,0.0,-100.0,Detractor
23,not at all useful nor of value to your practice,frequently,decrease,1,1.0,-100.0,Detractor
24,not at all useful nor of value to your practice,frequently,decrease,10,10.0,100.0,Promoter
25,not at all useful nor of value to your practice,frequently,decrease,4,4.0,-100.0,Detractor
26,not at all useful nor of value to your practice,frequently,decrease,5,5.0,-100.0,Detractor
27,not at all useful nor of value to your practice,frequently,decrease,6,6.0,-100.0,Detractor
28,not at all useful nor of value to your practice,frequently,decrease,8,8.0,0.0,Passive
29,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),0,0.0,-100.0,Detractor
30,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),1,1.0,-100.0,Detractor
31,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),10,10.0,100.0,Promoter
32,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),2,2.0,-100.0,Detractor
33,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),3,3.0,-100.0,Detractor
34,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),4,4.0,-100.0,Detractor
35,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),5,5.0,-100.0,Detractor
36,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),6,6.0,-100.0,Detractor
37,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),7,7.0,0.0,Passive
38,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),8,8.0,0.0,Passive
39,not at all useful nor of value to your practice,frequently,increase (or will begin to prescribe),9,9.0,100.0,Promoter
40,not at all useful nor of value to your practice,frequently,remain unchanged,0,0.0,-100.0,Detractor
41,not at all useful nor of value to your practice,frequently,remain unchanged,1,1.0,-100.0,Detractor
42,not at all useful nor of value to your practice,frequently,remain unchanged,10,10.0,100.0,Promoter
43,not at all useful nor of value to your practice,frequently,remain unchanged,2,2.0,-100.0,Detractor
44,not at all useful nor of value to your practice,frequently,remain unchanged,3,3.0,-100.0,Detractor
45,not at all useful nor of value to your practice,frequently,remain unchanged,4,4.0,-100.0,Detractor
46,not at all useful nor of value to your practice,frequently,remain unchanged,5,5.0,-100.0,Detractor
47,not at all useful nor of value to your practice,frequently,remain unchanged,6,6.0,-100.0,Detractor
48,not at all useful nor of value to your practice,frequently,remain unchanged,7,7.0,0.0,Passive
49,not at all useful nor of value to your practice,frequently,remain unchanged,8,8.0,0.0,Passive
50,not at all useful nor of value to your practice,frequently,remain unchanged,9,9.0,100.0,Promoter
51,not at all useful nor of value to your practice,lapsed user,increase (or will begin to prescribe),3,3.0,-100.0,Detractor
52,not at all useful nor of value to your practice,lapsed user,increase (or will begin to prescribe),5,5.0,-100.0,Detractor
53,not at all useful nor of value to your practice,lapsed user,increase (or will begin to prescribe),6,6.0,-100.0,Detractor
54,not at all useful nor of value to your practice,lapsed user,increase (or will begin to prescribe),7,7.0,0.0,Passive
55,not at all useful nor of value to your practice,lapsed user,increase (or will begin to prescribe),8,8.0,0.0,Passive
56,not at all useful nor of value to your practice,lapsed user,increase (or will begin to prescribe),9,9.0,100.0,Promoter
57,not at all useful nor of value to your practice,lapsed user,remain unchanged,0,0.0,-100.0,Detractor
