month_key,month_date,month_label,year,month_number,year_month,month_sort_key,quarter_number,year_quarter,quarter_key
20240101,01/01/2024,Jan 24,2024,1,2024-01,202401,1,2024-Q1,20241
20240201,01/02/2024,Feb 24,2024,2,2024-02,202402,1,2024-Q1,20241
20240301,01/03/2024,Mar 24,2024,3,2024-03,202403,1,2024-Q1,20241
20240401,01/04/2024,Apr 24,2024,4,2024-04,202404,2,2024-Q2,20242
20240501,01/05/2024,May 24,2024,5,2024-05,202405,2,2024-Q2,20242
20240601,01/06/2024,Jun 24,2024,6,2024-06,202406,2,2024-Q2,20242
20240701,01/07/2024,Jul 24,2024,7,2024-07,202407,3,2024-Q3,20243
20240801,01/08/2024,Aug 24,2024,8,2024-08,202408,3,2024-Q3,20243
20240901,01/09/2024,Sep 24,2024,9,2024-09,202409,3,2024-Q3,20243
20241001,01/10/2024,Oct 24,2024,10,2024-10,202410,4,2024-Q4,20244
20241101,01/11/2024,Nov 24,2024,11,2024-11,202411,4,2024-Q4,20244
20241201,01/12/2024,Dec 24,2024,12,2024-12,202412,4,2024-Q4,20244
20250101,01/01/2025,Jan 25,2025,1,2025-01,202501,1,2025-Q1,20251
20250201,01/02/2025,Feb 25,2025,2,2025-02,202502,1,2025-Q1,20251
20250301,01/03/2025,Mar 25,2025,3,2025-03,202503,1,2025-Q1,20251
20250401,01/04/2025,Apr 25,2025,4,2025-04,202504,2,2025-Q2,20252
20250501,01/05/2025,May 25,2025,5,2025-05,202505,2,2025-Q2,20252
20250601,01/06/2025,Jun 25,2025,6,2025-06,202506,2,2025-Q2,20252
20250701,01/07/2025,Jul 25,2025,7,2025-07,202507,3,2025-Q3,20253
20250801,01/08/2025,Aug 25,2025,8,2025-08,202508,3,2025-Q3,20253
20250901,01/09/2025,Sep 25,2025,9,2025-09,202509,3,2025-Q3,20253
20251001,01/10/2025,Oct 25,2025,10,2025-10,202510,4,2025-Q4,20254
20251101,01/11/2025,Nov 25,2025,11,2025-11,202511,4,2025-Q4,20254
20251201,01/12/2025,Dec 25,2025,12,2025-12,202512,4,2025-Q4,20254
