portfolio_key,portfolio_name,atc4_raw,atc4_code,atc4_description,corporation_group,molecule_list,molecule_count,is_combo_molecule,has_sales,has_promo,has_finance,is_common_three_worlds
1,FORXIGA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,ASTRAZENECA,DAPAGLIFLOZIN,1,False,True,True,False,False
2,JARDIANCE,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,BOEHRINGER INGEL,EMPAGLIFLOZIN,1,False,True,True,False,False
3,INVOKANA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DIFARMED,CANAGLIFLOZIN,1,False,True,False,False,False
4,EDISTRIDE,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,ESTEVE,DAPAGLIFLOZIN,1,False,True,True,False,False
5,INVOKANA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,JOHNSON & JOHNSON,CANAGLIFLOZIN,1,False,True,True,False,False
6,INVOKANA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,MELYFARMA,CANAGLIFLOZIN,1,False,True,False,False,False
7,INVOKANA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,MENARINI,CANAGLIFLOZIN,1,False,True,True,True,True
8,STEGLATRO,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,MERCK & CO,ERTUGLIFLOZIN,1,False,True,True,False,False
9,XIGDUO,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,ASTRAZENECA,DAPAGLIFLOZIN + METFORMIN,2,True,True,True,False,False
10,SYNJARDY,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,BOEHRINGER INGEL,EMPAGLIFLOZIN + METFORMIN,2,True,True,True,False,False
11,EBYMECT,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,ESTEVE,DAPAGLIFLOZIN + METFORMIN,2,True,True,True,False,False
12,VOKANAMET,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,JOHNSON & JOHNSON,CANAGLIFLOZIN + METFORMIN,2,True,True,True,False,False
13,VOKANAMET,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,MENARINI,CANAGLIFLOZIN + METFORMIN,2,True,True,True,True,True
14,SEGLUROMET,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,MERCK & CO,ERTUGLIFLOZIN + METFORMIN,2,True,True,True,False,False
15,QTERN,A10P5 - SGLT2 INH&DPP-IV INH COM,A10P5,SGLT2 INH&DPP-IV INH COM,ASTRAZENECA,DAPAGLIFLOZIN + SAXAGLIPTIN,2,True,True,True,False,False
16,GLYXAMBI,A10P5 - SGLT2 INH&DPP-IV INH COM,A10P5,SGLT2 INH&DPP-IV INH COM,BOEHRINGER INGEL,EMPAGLIFLOZIN + LINAGLIPTIN,2,True,True,True,False,False
17,STEGLUJAN,A10P5 - SGLT2 INH&DPP-IV INH COM,A10P5,SGLT2 INH&DPP-IV INH COM,MERCK & CO,ERTUGLIFLOZIN + SITAGLIPTIN,2,True,True,True,False,False
18,BISOPROLOL/A.I.,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",A.I.PRESCRIPTION,BISOPROLOL,1,False,False,True,False,False
19,CARVEDILOL/A.I.,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",A.I.PRESCRIPTION,CARVEDILOL,1,False,False,True,False,False
20,PROPRANOLOL/A.I.,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",A.I.PRESCRIPTION,PROPRANOLOL,1,False,False,True,False,False
21,SOTALOL/A.I.,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",A.I.PRESCRIPTION,SOTALOL,1,False,False,True,False,False
22,ATENOLOLO ABC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ABC,ATENOLOL,1,False,False,True,False,False
23,BLOKIUM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ALMIRALL,ATENOLOL,1,False,False,True,False,False
24,ATENOLOL ALTER,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ALTER,ATENOLOL,1,False,False,True,False,False
25,BISOPROLOL ALTER,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ALTER,BISOPROLOL,1,False,False,True,False,False
26,BISOPROLOL COR ALT,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ALTER,BISOPROLOL,1,False,False,True,False,False
27,CARVEDILOL ALTER,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ALTER,CARVEDILOL,1,False,False,True,False,False
28,NEBIVOLOLO ATE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ALTER,NEBIVOLOL,1,False,False,True,False,False
29,NEBIVOLOL APOTEX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",APOTEX,NEBIVOLOL,1,False,False,True,False,False
30,ATENOLOL ARISTO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ARISTO PHARMA,ATENOLOL,1,False,False,True,False,False
31,ATENOLOLO ARI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ARISTO PHARMA,ATENOLOL,1,False,False,True,False,False
32,BISOPROLOL COR ARI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ARISTO PHARMA,BISOPROLOL,1,False,False,True,False,False
33,ATENOLOLO NDO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,ATENOLOL,1,False,False,True,False,False
34,BISOPROLOL AUROVIT,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,BISOPROLOL,1,False,False,True,False,False
35,CARVEDILOL AUROVIT,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,CARVEDILOL,1,False,False,True,False,False
36,CARVEDILOLO NDO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,CARVEDILOL,1,False,False,True,False,False
37,NEBIVOLOLO NDO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,NEBIVOLOL,1,False,False,True,False,False
38,NADOLOLO CHEPLA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",AVAS PHARMACEUTIC.,NADOLOL,1,False,False,True,False,False
39,SECTRAL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",AVAS PHARMACEUTIC.,ACEBUTOLOL,1,False,False,True,False,False
40,SOTALEX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",AVAS PHARMACEUTIC.,SOTALOL,1,False,False,True,False,False
41,BREVIBLOC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BAXTER INT,ESMOLOL,1,False,False,True,False,False
42,NEBICUR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BENNETT,NEBIVOLOL,1,False,False,True,False,False
43,LOPRESOR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BRUNO FARMACEUTICI,METOPROLOL,1,False,False,True,False,False
44,DILATREND,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CHEPLAPHARM,CARVEDILOL,1,False,False,True,False,False
45,ATENOLOL CINFA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CINFA,ATENOLOL,1,False,False,True,False,False
46,BISOPROLOL CINFA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CINFA,BISOPROLOL,1,False,False,True,False,False
47,CARVEDILOL CINFA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CINFA,CARVEDILOL,1,False,False,True,False,False
48,NEBIVOLOL CINFA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CINFA,NEBIVOLOL,1,False,False,True,False,False
49,ATENOLOLO DOC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",DOC GENERICI,ATENOLOL,1,False,False,True,False,False
50,BISOPROLOLO DOC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",DOC GENERICI,BISOPROLOL,1,False,False,True,False,False
