product_key,portfolio_key,product_label,local_brand_name,int_corporation_name,corporation_group,atc4_raw,atc4_code,atc4_description,molecule_combo,molecule_count,is_combo_molecule,has_not_coded_molecule
1,1,FORXIGA,FORXIGA,ASTRAZENECA,ASTRAZENECA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DAPAGLIFLOZIN,1,False,False
2,2,JARDIANCE,JARDIANCE,BOEHRINGER INGEL,BOEHRINGER INGEL,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,EMPAGLIFLOZIN,1,False,False
3,4,EDISTRIDE,EDISTRIDE,ESTEVE,ESTEVE,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DAPAGLIFLOZIN,1,False,False
4,5,INVOKANA,INVOKANA,JOHNSON & JOHNSON,JOHNSON & JOHNSON,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,CANAGLIFLOZIN,1,False,False
5,7,INVOKANA,INVOKANA,MENARINI,MENARINI,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,CANAGLIFLOZIN,1,False,False
6,8,STEGLATRO,STEGLATRO,MERCK & CO,MERCK & CO,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,ERTUGLIFLOZIN,1,False,False
7,9,XIGDUO,XIGDUO,ASTRAZENECA,ASTRAZENECA,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,DAPAGLIFLOZIN+METFORMIN,2,True,False
8,10,SYNJARDY,SYNJARDY,BOEHRINGER INGEL,BOEHRINGER INGEL,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,EMPAGLIFLOZIN+METFORMIN,2,True,False
9,11,EBYMECT,EBYMECT,ESTEVE,ESTEVE,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,DAPAGLIFLOZIN+METFORMIN,2,True,False
10,12,VOKANAMET,VOKANAMET,JOHNSON & JOHNSON,JOHNSON & JOHNSON,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,CANAGLIFLOZIN+METFORMIN,2,True,False
11,13,VOKANAMET,VOKANAMET,MENARINI,MENARINI,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,CANAGLIFLOZIN+METFORMIN,2,True,False
12,14,SEGLUROMET,SEGLUROMET,MERCK & CO,MERCK & CO,A10P3 - SGLT2 INH & BIGUAN COMBS,A10P3,SGLT2 INH & BIGUAN COMBS,ERTUGLIFLOZIN+METFORMIN,2,True,False
13,15,QTERN,QTERN,ASTRAZENECA,ASTRAZENECA,A10P5 - SGLT2 INH&DPP-IV INH COM,A10P5,SGLT2 INH&DPP-IV INH COM,DAPAGLIFLOZIN+SAXAGLIPTIN,2,True,False
14,16,GLYXAMBI,GLYXAMBI,BOEHRINGER INGEL,BOEHRINGER INGEL,A10P5 - SGLT2 INH&DPP-IV INH COM,A10P5,SGLT2 INH&DPP-IV INH COM,EMPAGLIFLOZIN+LINAGLIPTIN,2,True,False
15,17,STEGLUJAN,STEGLUJAN,MERCK & CO,MERCK & CO,A10P5 - SGLT2 INH&DPP-IV INH COM,A10P5,SGLT2 INH&DPP-IV INH COM,ERTUGLIFLOZIN+SITAGLIPTIN,2,True,False
16,18,BISOPROLOL/A.I.,BISOPROLOL/A.I.,A.I.PRESCRIPTION,A.I.PRESCRIPTION,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
17,19,CARVEDILOL/A.I.,CARVEDILOL/A.I.,A.I.PRESCRIPTION,A.I.PRESCRIPTION,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
18,20,PROPRANOLOL/A.I.,PROPRANOLOL/A.I.,A.I.PRESCRIPTION,A.I.PRESCRIPTION,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROPRANOLOL,1,False,False
19,21,SOTALOL/A.I.,SOTALOL/A.I.,A.I.PRESCRIPTION,A.I.PRESCRIPTION,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SOTALOL,1,False,False
20,22,ATENOLOLO ABC,ATENOLOLO ABC,ABC,ABC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
21,23,BLOKIUM,BLOKIUM,ALMIRALL,ALMIRALL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
22,24,ATENOLOL ALTER,ATENOLOL ALTER,ALTER,ALTER,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
23,25,BISOPROLOL ALTER,BISOPROLOL ALTER,ALTER,ALTER,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
24,26,BISOPROLOL COR ALT,BISOPROLOL COR ALT,ALTER,ALTER,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
25,27,CARVEDILOL ALTER,CARVEDILOL ALTER,ALTER,ALTER,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
26,28,NEBIVOLOLO ATE,NEBIVOLOLO ATE,ALTER,ALTER,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
27,29,NEBIVOLOL APOTEX,NEBIVOLOL APOTEX,APOTEX,APOTEX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
28,30,ATENOLOL ARISTO,ATENOLOL ARISTO,ARISTO PHARMA,ARISTO PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
29,31,ATENOLOLO ARI,ATENOLOLO ARI,ARISTO PHARMA,ARISTO PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
30,32,BISOPROLOL COR ARI,BISOPROLOL COR ARI,ARISTO PHARMA,ARISTO PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
31,33,ATENOLOLO NDO,ATENOLOLO NDO,AUROBINDO,AUROBINDO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
32,34,BISOPROLOL AUROVIT,BISOPROLOL AUROVIT,AUROBINDO,AUROBINDO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
33,35,CARVEDILOL AUROVIT,CARVEDILOL AUROVIT,AUROBINDO,AUROBINDO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
34,36,CARVEDILOLO NDO,CARVEDILOLO NDO,AUROBINDO,AUROBINDO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
35,37,NEBIVOLOLO NDO,NEBIVOLOLO NDO,AUROBINDO,AUROBINDO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
36,38,NADOLOLO CHEPLA,NADOLOLO CHEPLA,AVAS PHARMACEUTIC.,AVAS PHARMACEUTIC.,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NADOLOL,1,False,False
37,39,SECTRAL,SECTRAL,AVAS PHARMACEUTIC.,AVAS PHARMACEUTIC.,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ACEBUTOLOL,1,False,False
38,40,SOTALEX,SOTALEX,AVAS PHARMACEUTIC.,AVAS PHARMACEUTIC.,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SOTALOL,1,False,False
39,41,BREVIBLOC,BREVIBLOC,BAXTER INT,BAXTER INT,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ESMOLOL,1,False,False
40,42,NEBICUR,NEBICUR,BENNETT,BENNETT,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
41,43,LOPRESOR,LOPRESOR,BRUNO FARMACEUTICI,BRUNO FARMACEUTICI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
42,44,DILATREND,DILATREND,CHEPLAPHARM,CHEPLAPHARM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
43,45,ATENOLOL CINFA,ATENOLOL CINFA,CINFA,CINFA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
44,46,BISOPROLOL CINFA,BISOPROLOL CINFA,CINFA,CINFA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
45,47,CARVEDILOL CINFA,CARVEDILOL CINFA,CINFA,CINFA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
46,48,NEBIVOLOL CINFA,NEBIVOLOL CINFA,CINFA,CINFA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
47,49,ATENOLOLO DOC,ATENOLOLO DOC,DOC GENERICI,DOC GENERICI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
48,50,BISOPROLOLO DOC,BISOPROLOLO DOC,DOC GENERICI,DOC GENERICI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
49,51,CARVEDILOLO DOC,CARVEDILOLO DOC,DOC GENERICI,DOC GENERICI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
50,52,METOPROLOLO DOC,METOPROLOLO DOC,DOC GENERICI,DOC GENERICI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
51,53,NEBIVOLOLO DOC,NEBIVOLOLO DOC,DOC GENERICI,DOC GENERICI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
