quarter_key,quarter_date,quarter_label,calendar_quarter,year,quarter_number,month_number,year_quarter,quarter_sort_key,is_common_three_worlds
20221,01/01/2022,Q1 2022,Q1 2022,2022,1,1,2022-Q1,20221,False
20222,01/04/2022,Q2 2022,Q2 2022,2022,2,4,2022-Q2,20222,False
20223,01/07/2022,Q3 2022,Q3 2022,2022,3,7,2022-Q3,20223,False
20224,01/10/2022,Q4 2022,Q4 2022,2022,4,10,2022-Q4,20224,False
20231,01/01/2023,Q1 2023,Q1 2023,2023,1,1,2023-Q1,20231,False
20232,01/04/2023,Q2 2023,Q2 2023,2023,2,4,2023-Q2,20232,False
20233,01/07/2023,Q3 2023,Q3 2023,2023,3,7,2023-Q3,20233,False
20234,01/10/2023,Q4 2023,Q4 2023,2023,4,10,2023-Q4,20234,False
20241,01/01/2024,Q1 2024,Q1 2024,2024,1,1,2024-Q1,20241,True
20242,01/04/2024,Q2 2024,Q2 2024,2024,2,4,2024-Q2,20242,True
20243,01/07/2024,Q3 2024,Q3 2024,2024,3,7,2024-Q3,20243,True
20244,01/10/2024,Q4 2024,Q4 2024,2024,4,10,2024-Q4,20244,True
20251,01/01/2025,Q1 2025,Q1 2025,2025,1,1,2025-Q1,20251,True
20252,01/04/2025,Q2 2025,Q2 2025,2025,2,4,2025-Q2,20252,True
20253,01/07/2025,Q3 2025,Q3 2025,2025,3,7,2025-Q3,20253,True
20254,01/10/2025,Q4 2025,Q4 2025,2025,4,10,2025-Q4,20254,False
20261,01/01/2026,Q1 2026,Q1 2026,2026,1,1,2026-Q1,20261,False
