product_key,portfolio_key,product_label,product_name,pack_name,corporation_name,corporation_group,atc4_raw,atc4_code,atc4_description,molecule_list,molecule_count,is_combo_molecule,protection_current,international_prescription
1,1,FORXIGA,FORXIGA,COMPR RIV. 10MG,ASTRAZENECA,ASTRAZENECA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DAPAGLIFLOZIN,1,False,PROTECTED,PRESCRIPTION BOUND
2,1,FORXIGA,FORXIGA,COMPR RIV. 10MG 28,ASTRAZENECA,ASTRAZENECA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DAPAGLIFLOZIN,1,False,PROTECTED,PRESCRIPTION BOUND
3,1,FORXIGA,FORXIGA,COMPR RIV. 5MG,ASTRAZENECA,ASTRAZENECA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DAPAGLIFLOZIN,1,False,PROTECTED,PRESCRIPTION BOUND
4,1,FORXIGA,FORXIGA,COMPR RIV. 5MG 28,ASTRAZENECA,ASTRAZENECA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DAPAGLIFLOZIN,1,False,PROTECTED,PRESCRIPTION BOUND
5,1,FORXIGA,FORXIGA,F.C.TABS 10MG 28,ASTRAZENECA,ASTRAZENECA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DAPAGLIFLOZIN,1,False,PROTECTED,PRESCRIPTION BOUND
6,1,FORXIGA,FORXIGA,F.C.TABS 5MG 28,ASTRAZENECA,ASTRAZENECA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DAPAGLIFLOZIN,1,False,PROTECTED,PRESCRIPTION BOUND
7,1,FORXIGA,FORXIGA,TABL RECUB 10MG,ASTRAZENECA,ASTRAZENECA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DAPAGLIFLOZIN,1,False,PROTECTED,PRESCRIPTION BOUND
8,1,FORXIGA,FORXIGA,TABL RECUB 10MG 28,ASTRAZENECA,ASTRAZENECA,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,DAPAGLIFLOZIN,1,False,PROTECTED,PRESCRIPTION BOUND
9,2,JARDIANCE,JARDIANCE,COMPR RIV. 10MG,BOEHRINGER INGEL,BOEHRINGER INGEL,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,EMPAGLIFLOZIN,1,False,PROTECTED,PRESCRIPTION BOUND
10,2,JARDIANCE,JARDIANCE,COMPR RIV. 10MG 28,BOEHRINGER INGEL,BOEHRINGER INGEL,A10P1 - SGLT2 INHIB A-DIAB PLAIN,A10P1,SGLT2 INHIB A-DIAB PLAIN,EMPAGLIFLOZIN,1,False,PROTECTED,PRESCRIPTION BOUND
