fact_key,country_key,quarter_key,product_key,specialty_key,channel_key,feedback_key,product_details,contact_number,mentions,weighted_calls,spending_total_eur,quality_index,converted_contacts
1,3,20233,1,2,6,30,0,27,27,0,34,0,27.0
3,3,20233,1,2,6,160,0,27,27,0,34,0,27.0
4,3,20231,1,2,6,161,0,26,26,0,32,0,26.0
6,3,20241,1,2,6,161,0,31,31,0,40,0,31.0
8,3,20243,1,2,6,161,0,33,33,0,43,0,33.0
10,3,20261,1,2,6,161,0,30,30,0,41,0,30.0
11,3,20252,1,2,6,162,0,34,34,0,46,0,34.0
16,3,20232,1,2,6,171,0,26,26,0,33,0,26.0
23,3,20251,1,2,6,173,0,34,34,0,45,0,34.0
25,3,20253,1,2,6,173,0,31,31,0,42,0,31.0
27,3,20254,1,2,6,173,0,78,78,0,105,0,78.0
28,3,20261,1,2,6,173,0,29,29,0,39,0,29.0
29,3,20254,1,2,6,174,0,39,39,0,53,0,39.0
30,3,20261,1,2,6,174,0,30,30,0,41,0,30.0
33,3,20231,1,2,6,202,0,26,26,0,32,0,26.0
38,3,20234,1,2,6,235,0,28,28,0,36,0,
39,3,20224,1,2,6,256,0,26,26,0,32,0,26.0
41,3,20241,1,2,6,256,0,31,31,0,40,0,31.0
43,3,20231,1,2,6,257,0,26,26,0,32,0,26.0
45,3,20232,1,2,6,257,0,26,26,0,33,0,26.0
46,3,20233,1,2,6,257,0,27,27,0,34,0,27.0
48,3,20241,1,2,6,260,0,31,31,0,40,0,
50,3,20254,1,2,6,260,0,39,39,0,53,0,
51,3,20231,1,2,6,263,0,26,26,0,32,0,
52,3,20231,1,2,6,264,0,26,26,0,32,0,
53,3,20242,1,2,6,264,0,33,33,0,43,0,
54,3,20222,1,2,6,266,0,29,29,0,35,0,
56,3,20242,1,2,6,267,0,33,33,0,43,0,
59,3,20241,1,2,6,268,0,31,31,0,40,0,
61,3,20223,1,2,6,292,0,56,56,0,68,0,56.0
63,3,20224,1,2,6,292,0,52,52,0,64,0,52.0
65,3,20231,1,2,6,292,0,78,78,0,97,0,78.0
66,3,20233,1,2,6,292,0,108,108,0,137,0,108.0
68,3,20234,1,2,6,292,0,112,112,0,144,0,112.0
70,3,20241,1,2,6,292,0,93,93,0,119,0,93.0
72,3,20243,1,2,6,292,0,33,33,0,43,0,33.0
74,3,20244,1,2,6,292,0,33,33,0,44,0,33.0
75,3,20253,1,2,6,292,0,31,31,0,42,0,31.0
77,3,20261,1,2,6,292,0,30,30,0,41,0,30.0
79,3,20234,1,2,6,295,0,28,28,0,36,0,28.0
80,3,20242,1,2,6,295,0,33,33,0,43,0,33.0
81,3,20242,1,2,6,296,0,66,66,0,86,0,66.0
83,3,20254,1,2,6,296,0,39,39,0,53,0,39.0
85,3,20233,1,2,6,297,0,27,27,0,34,0,27.0
87,3,20241,1,2,6,297,0,31,31,0,40,0,31.0
89,3,20243,1,2,6,297,0,66,66,0,86,0,66.0
94,3,20261,1,2,6,297,0,30,30,0,41,0,30.0
97,3,20234,1,2,6,298,0,28,28,0,36,0,28.0
98,3,20241,1,2,6,298,0,31,31,0,40,0,31.0
99,3,20243,1,2,6,298,0,33,33,0,43,0,33.0
103,3,20231,1,2,6,299,0,26,26,0,32,0,26.0
105,3,20242,1,2,6,299,0,33,33,0,43,0,33.0
107,3,20261,1,2,6,299,0,90,90,0,122,0,90.0
109,3,20231,1,2,6,300,0,26,26,0,32,0,26.0
111,3,20232,1,2,6,300,0,26,26,0,33,0,26.0
112,3,20233,1,2,6,300,0,27,27,0,34,0,27.0
114,3,20234,1,2,6,300,0,56,56,0,72,0,56.0
118,3,20243,1,2,6,300,0,132,132,0,172,0,132.0
120,3,20244,1,2,6,300,0,33,33,0,44,0,33.0
122,3,20252,1,2,6,300,0,102,102,0,138,0,102.0
124,3,20253,1,2,6,300,0,62,62,0,84,0,62.0
126,3,20261,1,2,6,300,0,89,89,0,120,0,89.0
128,3,20252,1,2,6,302,0,34,34,0,46,0,34.0
130,3,20241,1,2,6,303,0,31,31,0,40,0,31.0
131,3,20243,1,2,6,303,0,33,33,0,43,0,33.0
133,3,20224,1,2,6,308,0,26,26,0,32,0,26.0
134,3,20243,1,2,6,309,0,33,33,0,43,0,33.0
135,3,20252,1,2,6,309,0,34,34,0,46,0,34.0
136,3,20253,1,2,6,309,0,31,31,0,42,0,31.0
142,3,20261,1,2,6,310,0,30,30,0,41,0,30.0
145,3,20252,1,2,6,311,0,34,34,0,46,0,34.0
146,3,20261,1,2,6,311,0,30,30,0,41,0,30.0
154,3,20221,1,2,6,337,0,28,28,0,32,0,28.0
157,3,20221,1,2,6,349,0,28,28,0,32,0,28.0
159,3,20253,1,2,6,351,0,31,31,0,42,0,31.0
162,3,20221,1,2,6,353,0,56,56,0,64,0,56.0
165,3,20221,1,2,6,355,0,28,28,0,32,0,28.0
167,3,20221,1,2,6,375,0,56,56,0,64,0,56.0
169,3,20223,1,2,6,375,0,84,84,0,102,0,84.0
171,3,20231,1,2,6,375,0,26,26,0,32,0,26.0
174,3,20241,1,2,6,375,0,31,31,0,40,0,31.0
175,3,20242,1,2,6,375,0,33,33,0,43,0,33.0
177,3,20243,1,2,6,376,0,33,33,0,43,0,33.0
179,3,20231,1,2,6,379,0,26,26,0,32,0,26.0
180,3,20253,1,2,6,380,0,31,31,0,42,0,31.0
182,3,20223,1,2,6,381,0,56,56,0,68,0,56.0
185,3,20231,1,2,6,381,0,26,26,0,32,0,26.0
186,3,20234,1,2,6,381,0,84,84,0,108,0,84.0
190,3,20244,1,2,6,381,0,66,66,0,88,0,66.0
192,3,20253,1,2,6,381,0,31,31,0,42,0,31.0
193,3,20261,1,2,6,381,0,29,29,0,39,0,29.0
194,3,20222,1,2,6,382,0,29,29,0,35,0,29.0
195,3,20231,1,2,6,382,0,26,26,0,32,0,26.0
196,3,20243,1,2,6,382,0,33,33,0,43,0,33.0
197,3,20252,1,2,6,382,0,34,34,0,46,0,34.0
200,3,20261,1,2,6,382,0,30,30,0,41,0,30.0
202,3,20224,1,2,6,383,0,26,26,0,32,0,26.0
204,3,20231,1,2,6,383,0,104,104,0,129,0,104.0
208,3,20234,1,2,6,383,0,56,56,0,72,0,56.0
210,3,20241,1,2,6,383,0,62,62,0,79,0,62.0
217,3,20241,1,2,6,387,0,62,62,0,79,0,
218,3,20242,1,2,6,387,0,33,33,0,43,0,
221,3,20253,1,2,6,387,0,31,31,0,42,0,
